id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects
PG10473,The Heart of the Range,"White, William Patterson",1884,,['en'],9,"{'Western stories', 'Fiction'}"
PG1047,The New Machiavelli,"Wells, H. G. (Herbert George)",1866,1946,['en'],96,"{'Political fiction', 'Adultery -- Fiction', 'Man-woman relationships -- Fiction', 'Great Britain -- Politics and government -- Fiction'}"
PG1048,The Ruling Passion: Tales of Nature and Human Nature,"Van Dyke, Henry",1852,1933,['en'],22,"{'Short stories, American', 'Fiction'}"
PG10508,"The Sorrows of a Show Girl: A Story of the Great ""White Way""","McGaffey, Kenneth",,,['en'],6,{'Theater -- Fiction'}
PG10538,Hyacinth,"Birmingham, George A.",1865,1950,['en'],26,"{'Young men -- Fiction', 'Ireland -- Fiction'}"
PG1053,Within the Tides: Tales,"Conrad, Joseph",1857,1924,['en'],53,"{'Fiction', 'Short stories, English'}"
PG10540,Mother Carey's Chickens,"Wiggin, Kate Douglas Smith",1856,1923,['en'],37,"{'Mother and child -- Fiction', 'Families -- Fiction'}"
PG10542,"The Boats of the ""Glen Carrig"": Being an account of their Adventures in the Strange places of the Earth, after the foundering of the good ship Glen Carrig through striking upon a hidden rock in the unknown seas to the Southward; as told by John Winterstraw, Gent., to his son James Winterstraw, in the year 1757, and by him committed very properly and legibly to manuscript","Hodgson, William Hope",1877,1918,['en'],115,"{'Shipwreck survival -- Fiction', 'Islands -- Fiction', 'Shipwrecks -- Fiction', 'Sea stories', 'Science fiction', 'Horror tales'}"
PG10548,The Westcotes,"Quiller-Couch, Arthur",1863,1944,['en'],6,"{'Single women -- Fiction', 'Man-woman relationships -- Fiction', 'England -- Social life and customs -- 19th century -- Fiction', 'Napoleonic Wars, 1800-1815 -- Prisoners and prisons, British -- Fiction'}"
PG10549,A Romance of the Republic,"Child, Lydia Maria",1802,1880,['en'],13,"{'Racism -- United States -- Fiction', 'Interracial marriage -- United States -- Fiction', 'United States -- Social conditions -- 1865-1918 -- Fiction', 'Slavery -- United States -- Fiction'}"
PG1056,Martin Eden,"London, Jack",1876,1916,['en'],848,"{'Young men -- Fiction', 'San Francisco (Calif.) -- Fiction', 'Working class -- Fiction', 'Bildungsromans', 'Autobiographical fiction', 'Authors -- Fiction'}"
PG10570,"For Better or Worse: Ship's Company, Part 10.","Jacobs, W. W. (William Wymark)",1863,1943,['en'],7,"{'England -- Social life and customs -- Fiction', 'Humorous stories, English'}"
PG10571,"The Old Man of the Sea: Ship's Company, Part 11.","Jacobs, W. W. (William Wymark)",1863,1943,['en'],59,"{'England -- Social life and customs -- Fiction', 'Humorous stories, English'}"
PG10572,"Manners Makyth Man: Ship's Company, Part 12.","Jacobs, W. W. (William Wymark)",1863,1943,['en'],5,"{'England -- Social life and customs -- Fiction', 'Humorous stories, English'}"
PG10573,"Ship's Company, the Entire Collection","Jacobs, W. W. (William Wymark)",1863,1943,['en'],14,"{'England -- Social life and customs -- Fiction', 'Humorous stories, English'}"
PG10576,"The Aeroplane Boys Flight; Or, A Hydroplane Roundup","Langworthy, John Luther",,,['en'],3,{'Aeronautics -- Juvenile fiction'}
PG10579,"Joe Strong the Boy Fire-Eater; Or, The Most Dangerous Performance on Record","Barnum, Vance",,,['en'],7,"{'Circus performers -- Juvenile fiction', 'Fire-eating -- Juvenile fiction'}"
PG10584,"Air Service Boys over the Atlantic; Or, The Longest Flight on Record","Beach, Charles Amory",,,['en'],7,"{'Airplanes -- Piloting -- Juvenile fiction', 'Detective and mystery stories', 'Aeronautics -- Juvenile fiction', 'Parmly, Jack (Fictitious character) -- Juvenile fiction', 'Raymond, Tom (Fictitious character) -- Juvenile fiction', 'Air pilots -- Juvenile fiction', 'World War, 1914-1918 -- Aerial operations -- Juvenile fiction'}"
PG10586,Mike and Psmith,"Wodehouse, P. G. (Pelham Grenville)",1881,1975,['en'],125,"{'Boarding schools -- Fiction', 'Cricket -- Fiction', 'England -- Fiction', 'Schools -- Fiction', 'Humorous stories'}"
PG10608,"The Turquoise Cup, and, the Desert","Smith, Arthur Cosslett",1852,1926,['en'],4,"{'Cardinals -- Fiction', 'Sahara -- Fiction', 'Love stories'}"
PG10662,The Night Land,"Hodgson, William Hope",1877,1918,['en'],444,{'Science fiction'}
PG10676,The Reign of Greed,"Rizal, José",1861,1896,['en'],4378,"{'Nationalists -- Philippines -- Fiction', 'Philippine fiction (Spanish) -- Translations into English', 'Philippines -- History -- Fiction'}"
PG10679,The Story of the Other Wise Man,"Van Dyke, Henry",1852,1933,['en'],161,"{'Magi -- Fiction', 'Jesus Christ -- Fiction', 'Christmas stories', 'Christian fiction'}"
PG10696,The Danger Trail,"Curwood, James Oliver",1878,1927,['en'],23,"{'Northwest Territories -- Fiction', 'Hudson Bay Railway -- Fiction'}"
PG10698,"The Aeroplane Boys on the Wing; Or, Aeroplane Chums in the Tropics","Langworthy, John Luther",,,['en'],3,{'Aeronautics -- Juvenile fiction'}
