id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects
PG1067,Personal Memoirs of U. S. Grant — Volume 1,"Grant, Ulysses S. (Ulysses Simpson)",1822,1885,['en'],28,"{'Grant, Ulysses S. (Ulysses Simpson), 1822-1885', 'Generals -- United States -- Biography', 'Mexican War, 1846-1848 -- Personal narratives', 'United States. Army -- Biography', 'Presidents -- United States -- Biography', 'United States -- History -- Civil War, 1861-1865 -- Campaigns'}"
PG10684,A History of Freedom of Thought,"Bury, J. B. (John Bagnell)",1861,1927,['en'],129,"{'Rationalism -- History', 'Free thought -- History'}"
PG10692,A Life of Gen. Robert E. Lee,"Cooke, John Esten",1830,1886,['en'],22,"{'United States -- History -- Civil War, 1861-1865 -- Biography', 'Generals -- Confederate States of America -- Biography', 'Lee, Robert E. (Robert Edward), 1807-1870', 'United States -- History -- Civil War, 1861-1865 -- Campaigns', 'Confederate States of America. Army -- Officers -- Biography'}"
PG10725,The Centralia Conspiracy,"Chaplin, Ralph",1887,1961,['en'],15,"{'Lumber trade -- Washington (State)', 'Industrial Workers of the World', 'Centralia Massacre, Centralia, Wash., 1919'}"
PG10731,The Essays of Arthur Schopenhauer; the Art of Controversy,"Schopenhauer, Arthur",1788,1860,['en'],176,"{'Debates and debating', 'Logic'}"
PG10732,The Essays of Arthur Schopenhauer; Studies in Pessimism,"Schopenhauer, Arthur",1788,1860,['en'],726,{'Pessimism'}
PG10739,The Essays of Arthur Schopenhauer; On Human Nature,"Schopenhauer, Arthur",1788,1860,['en'],296,"{'Political science', 'Ethics'}"
PG10733,Studies in Civics,"McCleary, J. T. (James Thompson)",1853,1924,['en'],15,"{'United States -- Politics and government -- Handbooks, manuals, etc.'}"
PG1082,"Voyage of the Paper Canoe: A Geographical Journey of 2500 Miles, from Quebec to the Gulf of Mexico, During the Years 1874-5","Bishop, Nathaniel H. (Nathaniel Holmes)",1837,1902,['en'],29,"{'Canoes and canoeing -- Canada, Eastern -- History -- 19th century', 'Canada, Eastern -- Description and travel', 'Atlantic Coast (U.S.) -- Description and travel', 'Atlantic Coast (Canada) -- Description and travel', 'Canoes and canoeing -- United States -- History -- 19th century', 'United States -- Description and travel', 'Waterways -- Canada, Eastern -- History -- 19th century', 'Waterways -- United States -- History -- 19th century', 'Bishop, Nathaniel H. (Nathaniel Holmes), 1837-1902 -- Travel -- United States', 'Bishop, Nathaniel H. (Nathaniel Holmes), 1837-1902 -- Travel -- Canada, Eastern'}"
PG10803,"A General History and Collection of Voyages and Travels — Volume 02: Arranged in Systematic Order: Forming a Complete History of the Origin and Progress of Navigation, Discovery, and Commerce, by Sea and Land, from the Earliest Ages to the Present Time","Kerr, Robert",1755,1813,['en'],45,{'Voyages and travels'}
PG10843,The Mental Life of Monkeys and Apes: A Study of Ideational Behavior,"Yerkes, Robert Mearns",1876,1956,['en'],12,"{'Mammals -- Psychology', 'Animal intelligence', 'Primates -- Psychology'}"
PG1084,Recipes Tried and True,"First Presbyterian Church (Marion, Ohio). Ladies' Aid Society",,,['en'],43,"{'Cooking, American'}"
PG10883,"Dio's Rome, Volume 4: An Historical Narrative Originally Composed in Greek During the Reigns of Septimius Severus, Geta and Caracalla, Macrinus, Elagabalus and Alexander Severus: and Now Presented in English Form",Cassius Dio Cocceianus,,,['en'],85,{'Rome -- History'}
PG10924,"The Lands of the Saracen: Pictures of Palestine, Asia Minor, Sicily, and Spain","Taylor, Bayard",1825,1878,['en'],62,"{'Middle East -- Description and travel', 'Spain -- Description and travel'}"
PG1092,The Description of Wales,"Giraldus, Cambrensis",,,['en'],92,"{'Wales -- Description and travel', 'Wales -- Social life and customs'}"
PG10940,"Manners, Customs, and Dress During the Middle Ages and During the Renaissance Period","Jacob, P. L.",1806,1884,['en'],472,"{'Renaissance', 'Clothing and dress', 'Manners and customs', 'Middle Ages'}"
PG10961,Lawn Tennis for Ladies,"Lambert Chambers, Mrs.",1878,1960,['en'],14,{'Tennis'}
PG10962,Concerning Animals and Other Matters,"Aitken, Edward Hamilton",1851,1909,['en'],33,"{'Natural history', 'India -- Social life and customs', 'Animal behavior'}"
PG10969,Ski-running,"Furse, Katharine",1875,1952,['en'],5,{'Skis and skiing'}
PG10970,Pragmatism,"Murray, D. L. (David Leslie)",1888,1962,['en'],36,{'Pragmatism'}
PG10985,"The Infant System: For Developing the Intellectual and Moral Powers of all Children, from One to Seven years of Age","Wilderspin, Samuel",1791,1866,['en'],75,{'Education'}
PG10991,Dogs and All about Them,"Leighton, Robert",1859,1934,['en'],18,{'Dogs'}
PG11015,"Pantheism, Its Story and Significance: Religions Ancient and Modern","Picton, J. Allanson (James Allanson)",1832,1910,['en'],46,"{'Pantheism', 'Religion'}"
PG11142,Unitarianism,"Tarrant, W. G. (William George)",1853,1928,['en'],5,"{'Unitarianism -- History', 'Unitarians'}"
PG11255,"Slave Narratives: A Folk History of Slavery in the United States from Interviews with Former Slaves, Volume II, Arkansas Narratives, Part 1",United States. Work Projects Administration,,,['en'],158,"{'Slaves -- Arkansas -- Biography', 'Slaves -- Arkansas -- Social conditions', 'Slave narratives -- Arkansas', 'African Americans -- Arkansas -- Biography', 'Slavery -- Arkansas'}"
PG11256,Social life at Rome in the Age of Cicero,"Fowler, W. Warde (William Warde)",1847,1921,['en'],14,{'Rome -- Social life and customs'}
PG11262,Cyclopedia of Economics,"Vaknin, Samuel",1961,,['en'],67,{'Economics'}
PG11271,"The Anti-Slavery Examiner, Part 1 of 4",American Anti-Slavery Society,,,['en'],20,"{'Antislavery movements -- United States -- Periodicals', 'Slavery -- United States -- Periodicals'}"
PG11276,Civil Government in the United States Considered with Some Reference to Its Origins,"Fiske, John",1842,1901,['en'],6,{'United States -- Politics and government'}
PG11502,An Englishman Looks at the World: Being a Series of Unrestrained Remarks upon Contemporary Matters,"Wells, H. G. (Herbert George)",1866,1946,['en'],47,"{'Social problems', 'Great Britain -- Social conditions', 'United States -- Social conditions'}"
PG11587,The School Book of Forestry,"Pack, Charles Lathrop",1857,1937,['en'],89,{'Forests and forestry'}
PG11709,"Slave Narratives: A Folk History of Slavery in the United States from Interviews with Former Slaves, Volume II, Arkansas Narratives, Part 6",United States. Work Projects Administration,,,['en'],61,"{'Slaves -- Arkansas -- Biography', 'Slaves -- Arkansas -- Social conditions', 'Slave narratives -- Arkansas', 'African Americans -- Arkansas -- Biography', 'Slavery -- Arkansas'}"
PG11717,The Palmy Days of Nance Oldfield,"Robins, Edward",1862,1943,['en'],0,"{'Oldfield, Anne, 1683-1730', 'Actresses -- Great Britain -- Biography', 'Theater -- Great Britain -- History -- 18th century'}"
PG1185,History of the Conflict Between Religion and Science,"Draper, John William",1811,1882,['en'],240,{'Religion and science -- History'}
PG12006,"A Handbook to Agra and the Taj, Sikandra, Fatehpur-Sikri and the Neighbourhood","Havell, E. B. (Ernest Binfield)",1861,1934,['en'],9,"{'Historic buildings -- India -- Agra Region', 'Agra Region (India) -- History', 'Taj Mahal (Agra, India)', 'Agra (India) -- Guidebooks', 'Art, Mogul', 'Tombs -- India -- Agra Region'}"
PG12022,A start in life. A journey across America. Fruit farming in California,"Dowsett, C. F. (Charles Finch)",1835,1915,['en'],10,"{'Urbanization -- California', 'Fruit-culture -- California', 'Ethnic groups -- California', 'Agriculture -- California', 'United States -- Description and travel', 'California -- Description and travel', 'Real estate development -- California'}"
PG12029,George Washington's Rules of Civility: Traced to their Sources and Restored by Moncure D. Conway,"Conway, Moncure Daniel",1832,1907,['en'],49,{'Etiquette'}
PG12035,Progressive Morality: An Essay in Ethics,"Fowler, Thomas",1832,1904,['en'],2,"{'Ethics, Evolutionary'}"
PG12052,Half a Century,"Swisshelm, Jane Grey Cannon",1815,1884,['en'],10,"{'Swisshelm, Jane Grey Cannon, 1815-1884', ""Women's rights -- United States"", 'Antislavery movements -- United States'}"
PG12055,"Slave Narratives: A Folk History of Slavery in the United States from Interviews with Former Slaves, Volume IX, Mississippi Narratives",United States. Work Projects Administration,,,['en'],66,"{'Slaves -- Mississippi -- Biography', 'African Americans -- Biography', 'Mississippi -- Biography', 'African Americans -- Mississippi -- Interviews'}"
PG12061,"Dio's Rome, Volume 6: An Historical Narrative Originally Composed in Greek During the Reigns of Septimius Severus, Geta and Caracalla, Macrinus, Elagabalus and Alexander Severus: and Now Presented in English Form",Cassius Dio Cocceianus,,,['en'],67,{'Rome -- History'}
